1;2;3;28.3;3.05;"8"""
2;3;3;26.0;2.60;"4"""
3;3;3;25.6;2.15;"0"""
4;4;2;21.0;1.85;"0"""
5;2;3;29.0;3.00;"1"""
6;1;2;25.0;2.30;"3"""
7;4;3;26.2;1.30;"0"""
8;2;3;24.9;2.10;"0"""
9;2;1;25.7;2.00;"8"""
10;2;3;27.5;3.15;"6"""
11;1;1;26.1;2.80;"5"""
12;3;3;28.9;2.80;"4"""
13;2;1;30.3;3.60;"3"""
14;2;3;22.9;1.60;"4"""
15;3;3;26.2;2.30;"3"""
16;3;3;24.5;2.05;"5"""
17;2;3;30.0;3.05;"8"""
18;2;3;26.2;2.40;"3"""
19;2;3;25.4;2.25;"6"""
20;2;3;25.4;2.25;"4"""
21;4;3;27.5;2.90;"0"""
22;4;3;27.0;2.25;"3"""
23;2;2;24.0;1.70;"0"""
24;2;1;28.7;3.20;"0"""
25;3;3;26.5;1.97;"1"""
26;2;3;24.5;1.60;"1"""
27;3;3;27.3;2.90;"1"""
28;2;3;26.5;2.30;"4"""
29;2;3;25.0;2.10;"2"""
30;3;3;22.0;1.40;"0"""
31;1;1;30.2;3.28;"2"""
32;2;2;25.4;2.30;"0"""
33;2;1;24.9;2.30;"6"""
34;4;3;25.8;2.25;"10"""
35;3;3;27.2;2.40;"5"""
36;2;3;30.5;3.32;"3"""
37;4;3;25.0;2.10;"8"""
38;2;3;30.0;3.00;"9"""
39;2;1;22.9;1.60;"0"""
40;2;3;23.9;1.85;"2"""
41;2;3;26.0;2.28;"3"""
42;2;3;25.8;2.20;"0"""
43;3;3;29.0;3.28;"4"""
44;1;1;26.5;2.35;"0"""
45;3;3;22.5;1.55;"0"""
46;2;3;23.8;2.10;"0"""
47;3;3;24.3;2.15;"0"""
48;2;1;26.0;2.30;"14"""
49;4;3;24.7;2.20;"0"""
50;2;1;22.5;1.60;"1"""
51;2;3;28.7;3.15;"3"""
52;1;1;29.3;3.20;"4"""
53;2;1;26.7;2.70;"5"""
54;4;3;23.4;1.90;"0"""
55;1;1;27.7;2.50;"6"""
56;2;3;28.2;2.60;"6"""
57;4;3;24.7;2.10;"5"""
58;2;1;25.7;2.00;"5"""
59;2;1;27.8;2.75;"0"""
60;3;1;27.0;2.45;"3"""
61;2;3;29.0;3.20;"10"""
62;3;3;25.6;2.80;"7"""
63;3;3;24.2;1.90;"0"""
64;3;3;25.7;1.20;"0"""
65;3;3;23.1;1.65;"0"""
66;2;3;28.5;3.05;"0"""
67;2;1;29.7;3.85;"5"""
68;3;3;23.1;1.55;"0"""
69;3;3;24.5;2.20;"1"""
70;2;3;27.5;2.55;"1"""
71;2;3;26.3;2.40;"1"""
72;2;3;27.8;3.25;"3"""
73;2;3;31.9;3.33;"2"""
74;2;3;25.0;2.40;"5"""
75;3;3;26.2;2.22;"0"""
76;3;3;28.4;3.20;"3"""
77;1;2;24.5;1.95;"6"""
78;2;3;27.9;3.05;"7"""
79;2;2;25.0;2.25;"6"""
80;3;3;29.0;2.92;"3"""
81;2;1;31.7;3.73;"4"""
82;2;3;27.6;2.85;"4"""
83;4;3;24.5;1.90;"0"""
84;3;3;23.8;1.80;"0"""
85;2;3;28.2;3.05;"8"""
86;3;3;24.1;1.80;"0"""
87;1;1;28.0;2.62;"0"""
88;1;1;26.0;2.30;"9"""
89;3;2;24.7;1.90;"0"""
90;2;3;25.8;2.65;"0"""
91;1;1;27.1;2.95;"8"""
92;2;3;27.4;2.70;"5"""
93;3;3;26.7;2.60;"2"""
94;2;1;26.8;2.70;"5"""
95;1;3;25.8;2.60;"0"""
96;4;3;23.7;1.85;"0"""
97;2;3;27.9;2.80;"6"""
98;2;1;30.0;3.30;"5"""
99;2;3;25.0;2.10;"4"""
"""10";0;2;3     27.;7     2.9;"0        5"""
"""10";1;2;3     28.;3     3.0;"0       15"""
"""10";2;4;3     25.;5     2.2;"5        0"""
"""10";3;2;3     26.;0     2.1;"5        5"""
"""10";4;2;3     26.;2     2.4;"0        0"""
"""10";5;3;3     23.;0     1.6;"5        1"""
"""10";6;2;2     22.;9     1.6;"0        0"""
"""10";7;2;3     25.;1     2.1;"0        5"""
"""10";8;3;1     25.;9     2.5;"5        4"""
"""10";9;4;1     25.;5     2.7;"5        0"""
"""11";0;2;1     26.;8     2.5;"5        0"""
"""11";1;2;1     29.;0     2.8;"0        1"""
"""11";2;3;3     28.;5     3.0;"0        1"""
"""11";3;2;2     24.;7     2.5;"5        4"""
"""11";4;2;3     29.;0     3.1;"0        1"""
"""11";5;2;3     27.;0     2.5;"0        6"""
"""11";6;4;3     23.;7     1.8;"0        0"""
