x;y
449.381.628.066.767;150.103.546.182.322
140.099.244.939.629;135.876.971.721.303
192.340.710.822.027;150.318.413.821.631
290.698.148.042.429;141.501.769.856.334
45.502.181.709.744;148.944.215.736.555
108.824.146.208.353;135.858.169.666.764
450.210.945.634.171;151.530.407.541.034
472.890.881.616.622;14.885.842.462.237
333.790.918.318.555;137.169.818.899.731
318.265.881.510.451;140.534.685.805.034
402.752.725.291.066;126.352.564.498.093
110.927.541.700.657;135.004.862.149.766
965.128.087.392.077;129.894.432.632.121
346.641.194.862.314;145.979.872.912.204
198.210.821.924.731;137.593.709.335.644
387.222.295.799.293;148.519.315.238.888
253.872.628.621.757;137.628.205.169.064
361.633.069.049.567;148.330.337.212.479
496.033.986.466.937;151.020.367.007.033
196.217.237.922.829;141.013.648.705.485
390.948.158.446.699;147.722.647.164.403
468.005.563.241.895;150.474.427.296.523
113.949.835.428.502;132.721.814.760.381
32.932.014.538.208;145.453.900.545.984
715.219.970.210.455;133.316.865.286.609
140.938.127.676.491;141.847.358.198.192
199.195.905.346.423;141.478.245.774.267
165.612.632.478.587;115.559.921.855.386
197.370.098.964.311;137.162.804.900.758
43.614.851.440.303;142.989.755.140.548
176.771.008.376.963;136.520.465.426.344
246.219.256.580.807;148.038.828.641.399
303.787.254.458.293;148.212.117.055.523
251.835.240.453.947;142.369.960.109.362
101.246.624.691.412;13.243.662.451.373
415.412.926.117.424;146.577.081.841.415
337.548.701.714.259;150.165.317.413.154
399.177.531.755.995;146.751.222.437.158
628.923.766.850.494;134.398.596.815.819
364.618.363.559.712;149.535.481.791.669
211.524.470.525.328;146.700.928.083.764
41.226.368.411.677;144.683.855.055.989
327.059.494.971.763;1.458.951.767.583
393.637.053.521.816;144.191.078.071.655
280.987.792.704.254;146.728.420.283.748
269.562.594.296.876;144.407.148.764.124
396.784.553.527.832;146.665.510.917.969
214.322.891.435.586;124.433.211.794.594
243.842.731.867.917;14.384.158.507.914
368.833.731.948.398;151.049.907.186.599
34.943.846.267.648;14.965.098.343.229
244.033.614.846.412;139.826.225.285.366
431.992.643.647.827;14.618.039.792.097
224.667.582.539.842;142.292.812.156.188
129.950.665.745.419;132.110.277.687.972
446.327.331.010.252;128.251.822.242.986
587.384.184.845.723;123.568.214.243.724
164.973.136.519.548;145.519.887.687.334
264.130.788.964.685;141.721.929.504.879
334.382.487.444.673;15.279.631.588.558
209.346.791.722.346;139.750.114.080.818
457.309.202.887.118;145.324.722.163.312
153.865.652.652.457;138.422.601.789.996
234.942.205.867.264;142.663.568.817.902
172.873.390.351.888;132.765.135.856.053
32.892.652.886.454;150.133.619.501.909
136.428.222.551.476;13.263.986.188.053
244.487.171.655.055;144.294.369.195.316
385.492.228.616.495;149.484.665.360.886
512.809.880.403.802;127.885.683.591.437
438.907.451.718.114;14.832.798.960.081
176.145.739.543.717;140.464.126.185.827
421.325.771.592.092;144.119.564.498.791
179.874.909.687.787;136.670.035.718.524
173.549.716.090.783;135.069.852.475.598
243.412.110.086.065;149.228.198.023.171
447.177.184.564.061;154.981.096.022.122
433.526.340.608.951;149.730.379.361.642
201.094.876.301.941;136.066.435.339.403
390.887.142.429.128;147.629.566.621.898
480.702.818.636.782;1.557.594.534.729
222.983.147.539.198;140.128.440.789.336
35.913.219.257.025;149.988.843.158.265
205.997.240.759.898;137.342.889.455.595
169.422.554.420.307;142.041.721.911.125
380.972.702.533.472;143.564.192.800.295
10.931.920.502.102;129.976.164.613.058
358.449.399.010.278;142.950.579.468.066
696.290.413.034.149;126.912.957.866.176
13.028.937.184.019;133.015.128.366.365
802.191.459.177.993;134.772.999.313.144
12.741.841.339.739;136.709.080.738.408
388.778.448.640.369;123.269.514.414.431
32.472.124.668.071;141.443.930.886.482
439.371.914.218.646;144.750.018.563.569
391.668.191.947.974;144.593.261.540.195
400.681.324.684.992;143.413.055.810.535
233.084.482.273.553;140.681.584.737.454
210.941.200.202.797;143.363.011.680.705
407.326.418.957.673;14.333.445.798.704
